linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
steel-sourcing-for-msmes-how-to-ensure-consistent-quality-for-auto-parts,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-e250br-steel-enhances-industrial-equipment-durability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tips-and-tricks-to-lower-construction-costs,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-should-you-consider-when-you-buy-steel-online,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
applications-of-cold-rolled-steel-in-structural-furniture-elements,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-grain-boundaries-in-the-mechanical-properties-of-cold-rolled,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-crucial-role-of-hot-rolled-steel-in-pre-engineered-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
role-of-nickel-in-stainless-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
strategies-and-materials-for-rainy-season-corrosion-in-structural-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-msmes-can-grow-their-customer-base-and-generate-leads-digitally,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
designing-earthquake-resistant-infrastructure-the-critical-role-of-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
Why-cold-rolled-steel-is-essential-for-precision-industrial-and-machinery-parts-manufacturing,❌ Missing,,,❌,,
the-pli-scheme-specialty-steel-gets-special-incentives,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-chemical-properties-of-different-types-of-cement-and-how-do,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
innovations-in-coated-steel-for-pebs-ppgl-gl-and-gp,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
difference-between-galvanized-and-galvalume,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-difference-between-tmt-bar-and-round-ms-bar,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cold-rolled-steel-in-the-automobile-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
concrete-vs-cement-a-comprehensive-comparison,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-the-application-of-pre-engineered-buildings-for-large-scale-indian-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
factors-to-consider-when-making-nails-and-screws-made-from-wire-rods,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cement-durability-tests-for-extreme-weather-conditions,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-annealing-in-steel-and-what-are-its-benefits-in-the-peb-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
8-factors-to-consider-before-buying-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-is-stainless-steel-utilised-in-the-automotive-and-transport-industries,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-and-how-msmes-are-contributing-largely-to-indias-economic-growth,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
essential-tips-to-buy-colour-coated-sheets,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to16__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to16__0""><a href=""#difflib_chg_to16__top"">t</a></td><td class=""diff_header"" id=""from16_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to16__top"">t</a></td><td class=""diff_header"" id=""to16_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;one&nbsp;ms</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">me</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to17__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to17__0""><a href=""#difflib_chg_to17__top"">t</a></td><td class=""diff_header"" id=""from17_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to17__top"">t</a></td><td class=""diff_header"" id=""to17_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
heavy-vehicle-chassis-which-type-of-steel-should-you-use,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
comparing-hrpo-steel-to-other-steel-finishes,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-key-factors-in-selecting-steel-for-warehouse-racking-systems,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
black-stainless-steel-the-new-champion-in-appliance-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
advantages-of-building-steel-structures,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
building-a-strong-foundation-using-rebar-in-concrete-footings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
your-complete-guide-to-purchasing-chequered-steel-plates,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-trade-credit-is-necessary-for-the-steel-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-benefits-and-challenges-of-using-stainless-steel-in-marine-environments,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-to-consider-when-pouring-concrete-in-monsoon,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-cure-concrete-at-the-right-temperature,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
advanced-steel-materials-and-their-role-in-fuel-efficiency,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
alternate-finance-what-are-your-options-as-an-msme,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-sheets-and-metal-forming-in-the-automotive-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-challenges-faced-by-procurement-managers-and-their-solutions,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-is-quality-control-essential-in-steel-fabrication,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
galvanised-plain-sheets-in-automotive-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
applications-of-hrpo-is-1079-2017-hr2-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
durability-and-formability-key-characteristics-of-quality-in-peb,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-does-steel-contribute-to-the-efficiency-of-industrial-racks-and-storage,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cement-vs-concrete-vs-mortar-choosing-the-right-material-for-the-job-,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
where-is-portland-pozzolana-cement-ppc-used,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
corrosion-is-a-common-challenge-in-steel-structures,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
pre-engineered-steel-building-systems-vs-conventional-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-hot-rolled-steel-is-used-in-large-peb-projects-like-warehouses,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
are-tmt-rebars-the-ultimate-money-saver-for-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-makes-galvalume-steel-ideal-during-monsoons,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
a-comprehensive-guide-to-is-2062-e250a-plates,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-future-of-msmes-in-india-an-exploration,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cement-materials-and-manufacturing-process,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-msmes-can-leverage-high-quality-steel-to-reduce-vehicle-recall-risks,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-selection-for-high-performance-vehicles,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
difference-between-hot-and-cold-rolled-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-types-of-steel-columns-used-in-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-can-we-maximise-the-efficiency-of-steel-solar-trackers,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-tempering-of-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-transport-sector-and-logistics-why-automation-is-the-need-of-the-hour,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cost-effective-steel-fabrication-solutions-for-small-businesses,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-advantages-of-steel-in-seismic-resistant-industrial,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
your-ultimate-guide-to-maintaining-concrete-structures,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
safeguarding-manpower-and-machinery-during-rainy-season,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
wire-rods-in-automotive-manufacturing-applications-and-advantages,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 0.0; timeDuration: 0.0,categoryName (Exact match required); timeDuration (Exact match required),,,
5-advantages-of-galvanised-steel-support-posts-in-solar-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
advantage-cold-rolled-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-your-options-for-steel-plates,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-are-solar-panels-a-popular-choice-for-investment,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tips-for-ensuring-high-quality-cement-plastering-work,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-wire-rod-application-in-refrigerators,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-incorporate-steel-cladding-in-industrial-buildings-for-aesthetic,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
2021-steel-trends-in-the-construction-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-impact-of-steel-quality-on-solar-panel-durability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-overcome-welding-challenges-with-tmt-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-msmes-can-minimise-steel-waste-during-solar-panel-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
corrosion-fatigue-in-tmt-bars-causes-and-prevention-methods,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
adhesion-challenges-and-solutions-for-cement-based-materials,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
comparison-of-wire-rod-and-other-materials-in-pre-stressed-concrete,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
innovations-in-steel-coatings-and-surface-treatments-for-improved-durability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-structural-loads-that-affect-steel-frame-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
best-cement-for-plastering-your-house,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-uniform-gauge-and-dimension-in-tmt-bars,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
managing-bulk-procurement-challenges-in-tmt-delivery,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
optimising-trade-and-cash-flow-for-msmes-with-off-balance-sheet-options,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-the-benefit-of-trade-accounts-receivable,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-journey-of-steel-from-start-to-finish,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
10-types-of-tests-on-cement-to-check-the-quality,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
peb-structures-how-steel-grades-and-coatings-make-a-difference,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-check-the-quality-of-cement-before-you-begin-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-economics-of-using-fewer-tmt-bars-in-high-strength-construction-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
balancing-weight-and-strength-for-optimal-performance-of-steel-truck-bodies,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
exploring-is-513-cr2-cold-rolled-steels-versatility,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tmt-steel-manufacturing-process-a-comprehensive-guide,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-does-the-water-cement-ratio-affect-the-workability-and-strength-of,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-reinforcement-strengthens-ground-mounted-solar-panels,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
comparing-cement-types-opc-ppc-and-psc-which-is-best-for-your-project,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
safeguards-to-consider-when-powder-coating-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
can-you-over-reinforce-concrete,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
stainless-steel-surface-finishes-and-their-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
6-things-to-keep-in-mind-when-buying-steel-online,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
when-should-you-take-a-loan,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
benefits-of-steel-cladding-sheets-in-construction-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-optimise-energy-efficiency-in-industrial-buildings-with-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
differences-between-ordinary-portland-cement-opc-and-portland-pozzolana,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
repair-of-rcc-structures-techniques-and-materials-used,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
is-green-cement-the-future-of-sustainable-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tmt-bars-the-building-blocks-of-modern-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
construction-versus-natural-disasters-how-do-tmt-bars-protect,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
galvalume-or-galvanized-steel-which-to-choose-for-automotive-use,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
a-look-into-the-multifaceted-applications-of-colour-coated-steel-sheets,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
contractors-guide-to-storing-and-handling-tmt-steel-and-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
